id,tmdb_id,title,original_title,tagline,overview,runtime,budget,revenue,release_date,status,popularity,vote_average,vote_count,original_language,poster_path,backdrop_path,teaser_link,trailer_link,awards,is_active,user_ratings_count,streaming_platforms,cached_average_rating,homepage,spoken_languages,production_countries,belongs_to_collection,imdb_id
22271,1075317,Gwen Shamblin: Starving for Salvation,Gwen Shamblin: Starving for Salvation,,"Gwen Shamblin, a charismatic with a curated image, became known with her Christian diet program ""Weigh Down Workshop"", and was accused of exploitation and emotional, psychological, and physical abuse by the church's alleged cult practices.",88,0,0,2023-02-04,Released,1.417,6.6,10,,/mtvOSet5NRSB4Qu4cHTVzCfRcZJ.jpg,/vlwoglCLDyR8sffUSvZFl2xijvE.jpg,,,[],1,0,[],,,[],[],[],
25453,1086474,Ariyavan,அரியவன்,,"Jeeva, a kabaddi player rescues Jessie, a friend of his fiancée after she is taken advantage of by the gang. As Jeeva tries to protect other girls and subdue the gang, he is compelled to confront brutal and dreaded gangster Thuraipandi.",108,0,0,2023-03-03,Released,1.189,9.0,1,,/wQCa5Wfj4W8jxP2x9vxkcEYxTVI.jpg,/9ueIUfklVWI5jsZhGYK4daKDaL0.jpg,,,[],1,0,[],,,[],[],[],
11714,1354845,Monkey King Fight Lion Camel,孙悟空大闹狮驼岭,,"As Tang Sanzang and his disciples arrive at Lion Camel Ridge, they encounter villagers captured by demons. Wukong's attempt to rescue them goes awry, and he and Zhu Bajie fall into a trap set by the three demon kings. Overwhelmed by their enemies, Wukong seeks help from the Buddha and learns the value of unity and teamwork. With the help of his brothers and a Bodhisattva, they work together to save the villagers and continue their journey westward, stronger and more united than before.",74,0,0,2024-09-11,Released,4.8416250000000005,2.5,2,,/zTwsbbD4YQlNSbJ3WqgMWzNGzEt.jpg,/q9pbiujld0ceq7Lw6QEpBrGatVQ.jpg,,,[],1,0,[],,,[],[],[],
30060,85272,The Millerson Case,The Millerson Case,Jealousy Brews MURDER for radio's amazing Crime Doctor!,"While on vacation, a criminal psychologist investigates a murder during a typhoid epidemic.",72,0,0,1947-05-29,Released,1.682,5.5,6,,/xIwYk8HFaxNzzMu3GPQiHdaTtxC.jpg,/51M2cBIbD8kKc1ivemA7tT16sPy.jpg,,,[],1,0,[],,,[],[],[],
22093,1208610,Bad Indian - the Villain Origin Story,Bad Indian - the Villain Origin Story,"When the results of her A-levels threaten Abbey’s future, can she create the illusion of truth to save her mother’s perception?","Bad Indian – The Villain Origin Story, is a coming of age comedy-drama about Abbey, a young woman from Croydon.  When Abbey lies to her strict Catholic Indian Mother about her rejection from Cambridge University her only method of escapism is to have one memorable night at the infamous Tiger Croydon’s A-Level Results Party. But what happens when the truth she's been running from violently slaps her in the face.",12,11000,0,2023-11-16,Released,3.384,4.67,3,,/5NapG1oQ6hi60Kv4yEnlqQmpGxR.jpg,/pJvR0XbqXNzYUZjESvn8YDvNe9W.jpg,,,[],1,0,[],,,[],[],[],
21849,976827,Dhak Dhak,Dhak Dhak,Four ordinary women. One extraordinary journey,"Four women — a travel blogger, her friend's biker granny, a makeshift mechanic and a young girl set to be married — ride to the highest motorable pass in the world on an extraordinary journey of self-discovery.",140,0,0,2023-10-13,Released,1.991,5.8,10,,/l3VtG2LeHL0AGnDC8dsDwmPu5PK.jpg,/zi61CVleJa70IyorynX6PZFRCVo.jpg,,,[],1,0,[],,,[],[],[],
1449,1405751,Coroner to the Stars,Coroner to the Stars,,"Coroner to the Stars chronicles the extraordinary journey of Dr. Thomas Noguchi, the former Los Angeles County Chief Medical Examiner-Coroner whose groundbreaking autopsies forever shaped American culture. From Marilyn Monroe and Robert Kennedy to Sharon Tate and Natalie Wood, Noguchi’s outspoken expertise pushed forensic science into the spotlight—even as Hollywood elites and political adversaries sought to silence him. A Japanese immigrant who unwittingly rose to fame in a city driven by stardom, Noguchi’s fearless pursuit of truth often placed him in the crosshairs of controversy.",83,0,0,2025-02-20,Post Production,1.375,0.0,0,,/9doStrDXyrhRpY2o78AugRcgJGP.jpg,/yvY1SLHZT5vcLoSdcatjREMXYVY.jpg,,,[],1,0,[],,,[],[],[],
8001,1387005,Insomnia,午夜失眠,,"The night before Wei-Kai's best friend went to study abroad, Wei-Kai couldn't sleep, and his desires turned into fantasies.",0,0,0,2024-11-18,Released,0.965,0.0,0,,/prLDXvCiA78Zc7GkTSF78aVr2Qs.jpg,/oMgGrgZZ4qDDMMNcVbW99DPjqjv.jpg,,,[],1,0,[],,,[],[],[],
12125,1291239,Gharat Ganpati,घरत  गणपती,,"Set against the picturesque landscape of Konkan, Gharat Ganpati offers an endearing glimpse into the lives of the Gharat family.",136,0,0,2024-07-26,Released,1.54025,6.0,2,,/xEU9UhUIKRRru8A0TVPseqhZzF5.jpg,,,,[],1,0,[],,,[],[],[],
1028,1120762,Robinhood,రాబిన్ హుడ్,All Indians are my brothers & sisters ...,"Ram, a modern-day Robin Hood, is a master thief who unexpectedly finds himself switching sides. When fate forces him to become the personal security officer for Neera, a rollercoaster ride of action, comedy, and unexpected twists follows.",150,0,0,2025-03-28,Released,4.7583,4.8,2,,/zeH5oAM1A3zgXbvQ3L9GiDs3ldQ.jpg,/yNuLB4Bqv1m8QAwd3WuBwIznErn.jpg,https://www.youtube.com/watch?v=RNuVnHlRjP0,https://www.youtube.com/watch?v=NfsTxYtBiWg,[],1,0,[],,,[],[],[],
4160,1402242,Sinfonia de Natal,Sinfonia de Natal,,,0,0,0,2024-12-24,Released,0.985,0.0,0,,/wK4g3nn35BKpZ0NlrYeqo8rBo49.jpg,,,,[],1,0,[],,,[],[],[],
30115,256772,The White Unicorn,The White Unicorn,,"In a home for delinquent girls, the worst offender exchanges reminiscences with the warden.",97,0,0,1947-10-29,Released,1.242,7.5,1,,/oroX2Jdb2Uto3xpV2uJRAFAJY8k.jpg,/b3aYCaODOiGi1eNQPE4gThFJ7gf.jpg,,https://www.youtube.com/watch?v=bZ3GERHMd3o,[],1,0,[],,,[],[],[],
11101,936622,Bade Miyan Chote Miyan,बड़े मियाँ छोटे मियाँ,The world is about to end and...our heroes will rise,Two elite soldiers with troubled pasts are enlisted for a daring mission when a deadly masked madman threatens India's defenses.,164,42105000,0,2024-04-11,Released,4.290375,6.7,35,,/ote8HmQOgmoAfqFaqVKsEdgD2q4.jpg,/b795kAB6Vbw0P92tyQwQyr4YzGf.jpg,https://www.youtube.com/watch?v=AS6q8k2Hiag,https://www.youtube.com/watch?v=IGzLHNPO4QI,[],1,0,[],,,[],[],[],
27887,1249828,Radio Man,Radio Man,,"After spending a night asleep in a high-powered radio telescope dish, Jack acquires a unique skill of being able to transmit all types of radio waves in his mind. Prior to this incident Jack is having a bad run, he has just broken up with his girlfriend, lost his job and has no money and is about to be kicked out of his house.",110,0,0,2023-06-01,Released,0.557,5.0,1,,/bMfPaK7zi33rV2dUpZ9EYk2HdfC.jpg,,,,[],1,0,[],,,[],[],[],
25284,1150767,DARK EXTRACTION,DARK EXTRACTION,,,0,10,0,2023-05-20,Released,1.301,10.0,1,,/qLmPdO5mAI7G1Y5pjMNWipnCuz6.jpg,/kgf9QyfrlCP5fJ0j9O6lZc2Sh7V.jpg,,,[],1,0,[],,,[],[],[],
5054,1404019,Rose,Rose,A nightmare about love and lust.,"""Rose"" follows Paul, a nervous young man waiting for his girlfriend to arrive for a date. When lustful thoughts about her mother start to pop into his head, they slowly begin to take control of his reality.English",13,250,0,2024-12-13,Released,0.427,10.0,1,,/m0sIsOUQt6r542qDSrqdadGeEs7.jpg,/f8jVxHC6qCh7fTywiLDnYdEKHRs.jpg,,,[],1,0,[],,,[],[],[],
20956,964883,All Because of the Cat,Ma langue au chat,,"Laure and Daniel welcome their friends for the yearly holidays in their country home, but their cat’s disappearance soon makes old secrets resurface.",103,3830000,0,2023-04-26,Released,3.522,5.7,30,,/we4s7n9hSYEKGXWCbzjzynII9tX.jpg,/9lZ2rgoCpq1agx3xxFkzfGpBhDJ.jpg,,,[],1,0,[],,,[],[],[],
5577,1399850,We Are We Come We Go,We Are We Come We Go,,A meditation on time and acquaintances; a walk through a maze; the artist draws a circular path.,1,0,0,2024-12-09,Released,0.527,0.0,0,,,,,,[],1,0,[],,,[],[],[],
5252,1399868,Framheim,Framheim,That's the title we're going with?,"A group of student playwrights embark on a journey to write a play about the first expedition to the South Pole, but the lines between story and reality begin to blur in a struggle for creative control.",22,650,0,2024-12-12,Released,1.443,0.0,0,,/gZcAoZibY9ULKnGUPX1aPGhkqlM.jpg,/7P63fnnpAlASK3HKHvwPyzLGP7u.jpg,,,[],1,0,[],,,[],[],[],
20232,1094463,Nobody But You,不能错过的只有你,,"Is the person you least want to miss still by your side? After failing to drift in the north and frustrated in love, Qin Huasheng returned to his hometown Chengdu. He unexpectedly met with Lin Wen, who was also emotionally hurt, and gradually the two got closer because of similar experiences.",111,0,7800000,2023-04-01,Released,4.942,4.7,3,,/mIVbaN7koQwsBGjPBqqQQKhjTWn.jpg,/vFDKLYWoBdgOptIiXT07tv2Odz0.jpg,,,[],1,0,[],,,[],[],[],
25151,1177518,One Night at School,夜校,,"The movie “One Night at School” describes three groups of totally irrelevant people who accidentally encounter in an abandon school one night. One group includes five beauties who go there for a livestreaming programme. They are forced to make a low cost but highly attractive programme and the abandon school seems a perfect setting. Several people from a criminal gang are also in the school at that night to carry out some revenge action. After searching in the city, the gang decides that the abandon school is suitable. The last group comprises two guys who have stolen the dead body of a Singaporean rich man. The body is stored in the abandoned school where the two guys go to check every day. They plan to extort a large sum of virtual currency from the rich man’s family. By taking care of their own matter at the same place at the same time, the three groups unintentionally intertwine and the adventure unfolds.",109,0,0,2023-11-02,Released,0.572,5.0,1,,/mbtnARQA1uUopWJBWhEoi2vxF05.jpg,/9n7UrXODFvjxzfMvL6C3k9R4fSz.jpg,,,[],1,0,[],,,[],[],[],
34,1290568,Margie Claus,Margie Claus,,The film follows Santa Claus when he disappears while delivering presents to his wife - Margie Claus - who must assemble a rescue team to save Christmas.,0,0,0,2027-11-04,Planned,4.903,0.0,0,,,,,,[],1,0,[],,,[],[],[],
30408,440240,Robinson Crusoe,Робинзон Крузо,,A man struggles to survive after being shipwrecked on a deserted island.,75,0,0,1947-02-20,Released,0.459,5.8,4,,/yINLdlXyd3WUHYWRE2ZAJPlRcYe.jpg,/fDgMR9tkE89WkEnD4djwfnaPOtX.jpg,,,[],1,0,[],,,[],[],[],
14195,1283998,Let's Eat Together Aki and Haru: More Please!,アキはハルとごはんを食べたい 2杯目！,,"Aki and Haru are in their fourth year of college now, they are both looking for jobs. Haru decides to pursue a career as a photographer and gets a job offer at a photography studio, while Aki gets a job offer at an interior products company. However, Aki's work location is in Osaka. They can only spend time together until graduation. In the midst of their sadness and confusion, Aki realizes that he has feelings for Haru that are more than just friendship...  ☆ Another adaptation from the popular manga building on from the 2023 version, featuring the same cast and an upgraded romance!",97,0,0,2024-06-14,Released,1.1199999999999999,10.0,1,,/aDgY7m9CuQXxMlTrE0vBDBWIXpF.jpg,/86qfRs6gIJresVJBnXLS4IsTdSM.jpg,,https://www.youtube.com/watch?v=8HjiiCQ6X3o,[],1,0,[],,,[],[],[],
